2024-10-03 11:44:44 [INFO] - Application Started
2024-10-03 11:44:44 [INFO] - Running 'test' subcommand
2024-10-03 11:44:44 [INFO] - Verbose: yes
2024-10-03 11:44:44 [INFO] - Starting tests...
2024-10-03 11:44:46 [INFO] - Test 1 | PASSED | PASSED | PASSED: argument_and_locals in 1.43s
2024-10-03 11:44:47 [INFO] - Test 2 | PASSED | PASSED | PASSED: argument_form_expr in 1.35s
2024-10-03 11:44:49 [INFO] - Test 3 | PASSED | PASSED | PASSED: argument_used_twice_form_expr in 1.46s
2024-10-03 11:44:51 [INFO] - Test 4 | PASSED | PASSED | PASSED: break_from_nested_and_outer_loops in 1.30s
2024-10-03 11:44:52 [INFO] - Test 5 | PASSED | PASSED | PASSED: break_from_nested_loop in 1.42s
2024-10-03 11:44:54 [INFO] - Test 6 | PASSED | PASSED | PASSED: break_loop in 1.39s
2024-10-03 11:44:55 [INFO] - Test 7 | PASSED | PASSED | PASSED: break_loop_nested in 1.37s
2024-10-03 11:44:57 [INFO] - Test 8 | PASSED | PASSED | PASSED: break_loop_nested_labeled in 1.61s
2024-10-03 11:44:59 [INFO] - Test 9 | PASSED | PASSED | PASSED: break_loop_with_if in 1.52s
2024-10-03 11:45:01 [INFO] - Test 10 | PASSED | PASSED | FAILED: break_stmt in 1.57s
2024-10-03 11:45:03 [INFO] - Test 11 | PASSED | PASSED | PASSED: break_with_value in 1.63s
2024-10-03 11:45:04 [INFO] - Test 12 | PASSED | PASSED | PASSED: break_with_value_and_label in 1.52s
2024-10-03 11:45:06 [INFO] - Test 13 | PASSED | PASSED | PASSED: break_with_value_and_return in 1.52s
2024-10-03 11:45:08 [INFO] - Test 14 | PASSED | PASSED | PASSED: closure_arguments in 1.64s
2024-10-03 11:45:12 [INFO] - Test 15 | PASSED | PASSED | PASSED: comments_in_block_expr in 3.19s
2024-10-03 11:45:14 [INFO] - Test 16 | PASSED | PASSED | PASSED: continue_loop_nested_labeled in 2.46s
2024-10-03 11:45:18 [INFO] - Test 17 | PASSED | FAILED | PASSED: copy_custom_used_after in 2.98s
2024-10-03 11:45:20 [INFO] - Test 18 | PASSED | FAILED | PASSED: copy_used_after in 2.32s
2024-10-03 11:45:24 [INFO] - Test 19 | PASSED | PASSED | PASSED: does_not_add_extra_whitespace in 3.49s
2024-10-03 11:45:27 [INFO] - Test 20 | PASSED | PASSED | PASSED: does_not_import_control_flow in 2.40s
2024-10-03 11:45:30 [INFO] - Test 21 | PASSED | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 2.40s
2024-10-03 11:45:34 [INFO] - Test 22 | PASSED | PASSED | FAILED: empty_generic_param_list in 3.55s
2024-10-03 11:45:36 [INFO] - Test 23 | PASSED | PASSED | FAILED: extract_cast in 1.68s
2024-10-03 11:45:37 [INFO] - Test 24 | PASSED | PASSED | PASSED: extract_does_not_tear_body_apart in 1.43s
2024-10-03 11:45:39 [INFO] - Test 25 | PASSED | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.40s
