2024-10-03 12:03:56 [INFO] - Application Started
2024-10-03 12:03:56 [INFO] - Running 'test' subcommand
2024-10-03 12:03:56 [INFO] - Verbose: yes
2024-10-03 12:03:56 [INFO] - Starting tests...
2024-10-03 12:04:02 [INFO] - Test 1 | PASSED | PASSED | PASSED: argument_and_locals in 4.61s
2024-10-03 12:04:10 [INFO] - Test 2 | PASSED | PASSED | PASSED: argument_form_expr in 6.58s
2024-10-03 12:04:16 [INFO] - Test 3 | PASSED | PASSED | PASSED: argument_used_twice_form_expr in 4.90s
2024-10-03 12:04:24 [INFO] - Test 4 | PASSED | PASSED | PASSED: break_from_nested_and_outer_loops in 5.76s
2024-10-03 12:04:27 [INFO] - Test 5 | PASSED | PASSED | PASSED: break_from_nested_loop in 3.29s
2024-10-03 12:04:30 [INFO] - Test 6 | PASSED | PASSED | PASSED: break_loop in 2.29s
2024-10-03 12:04:33 [INFO] - Test 7 | PASSED | PASSED | PASSED: break_loop_nested in 2.54s
2024-10-03 12:04:35 [INFO] - Test 8 | PASSED | PASSED | PASSED: break_loop_nested_labeled in 1.86s
2024-10-03 12:04:37 [INFO] - Test 9 | PASSED | PASSED | PASSED: break_loop_with_if in 1.90s
2024-10-03 12:04:39 [INFO] - Test 10 | PASSED | PASSED | FAILED: break_stmt in 1.74s
2024-10-03 12:04:41 [INFO] - Test 11 | PASSED | PASSED | PASSED: break_with_value in 1.87s
2024-10-03 12:04:43 [INFO] - Test 12 | PASSED | PASSED | PASSED: break_with_value_and_label in 1.73s
2024-10-03 12:04:45 [INFO] - Test 13 | PASSED | PASSED | PASSED: break_with_value_and_return in 1.56s
2024-10-03 12:04:47 [INFO] - Test 14 | PASSED | PASSED | PASSED: closure_arguments in 1.52s
2024-10-03 12:04:49 [INFO] - Test 15 | PASSED | PASSED | PASSED: comments_in_block_expr in 1.75s
2024-10-03 12:04:51 [INFO] - Test 16 | PASSED | PASSED | PASSED: continue_loop_nested_labeled in 1.59s
2024-10-03 12:04:53 [INFO] - Test 17 | PASSED | FAILED | PASSED: copy_custom_used_after in 1.56s
2024-10-03 12:04:54 [INFO] - Test 18 | PASSED | FAILED | PASSED: copy_used_after in 1.52s
2024-10-03 12:04:56 [INFO] - Test 19 | PASSED | PASSED | PASSED: does_not_add_extra_whitespace in 1.67s
2024-10-03 12:04:58 [INFO] - Test 20 | PASSED | PASSED | PASSED: does_not_import_control_flow in 1.91s
2024-10-03 12:05:00 [INFO] - Test 21 | PASSED | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.66s
2024-10-03 12:05:02 [INFO] - Test 22 | PASSED | PASSED | FAILED: empty_generic_param_list in 1.70s
2024-10-03 12:05:04 [INFO] - Test 23 | PASSED | PASSED | FAILED: extract_cast in 1.75s
2024-10-03 12:05:06 [INFO] - Test 24 | PASSED | PASSED | PASSED: extract_does_not_tear_body_apart in 1.83s
2024-10-03 12:05:08 [INFO] - Test 25 | PASSED | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.77s
2024-10-03 12:05:10 [INFO] - Test 26 | PASSED | FAILED | FAILED: extract_does_not_wrap_res_in_res in 1.61s
2024-10-03 12:05:12 [INFO] - Test 27 | PASSED | Error: Parse error: expected `,` | FAILED: extract_from_nested in 1.71s
2024-10-03 12:05:14 [INFO] - Test 28 | PASSED | PASSED | PASSED: extract_function_copies_comment_at_end in 2.30s
2024-10-03 12:05:17 [INFO] - Test 29 | PASSED | PASSED | PASSED: extract_function_copies_comment_at_start in 2.27s
2024-10-03 12:05:20 [INFO] - Test 30 | PASSED | PASSED | PASSED: extract_function_copies_comment_in_between in 2.80s
2024-10-03 12:05:22 [INFO] - Test 31 | PASSED | PASSED | PASSED: extract_function_copies_comment_indented in 1.83s
2024-10-03 12:05:24 [INFO] - Test 32 | PASSED | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.59s
2024-10-03 12:05:26 [INFO] - Test 33 | PASSED | PASSED | PASSED: extract_function_from_trait_with_existing_non_empty_impl_block in 1.67s
2024-10-03 12:05:27 [INFO] - Test 34 | PASSED | PASSED | PASSED: extract_function_long_form_comment in 1.44s
2024-10-03 12:05:29 [INFO] - Test 35 | PASSED | PASSED | PASSED: extract_method_from_trait_impl in 1.65s
2024-10-03 12:05:31 [INFO] - Test 36 | PASSED | PASSED | PASSED: extract_method_from_trait_with_existing_non_empty_impl_block in 1.52s
2024-10-03 12:05:33 [INFO] - Test 37 | PASSED | PASSED | PASSED: extract_method_from_trait_with_multiple_existing_impl_blocks in 1.50s
2024-10-03 12:05:34 [INFO] - Test 38 | PASSED | PASSED | PASSED: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 1.51s
2024-10-03 12:05:36 [INFO] - Test 39 | PASSED | PASSED | PASSED: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.52s
2024-10-03 12:05:38 [INFO] - Test 40 | PASSED | PASSED | PASSED: extract_partial_block in 1.44s
2024-10-03 12:05:39 [INFO] - Test 41 | PASSED | PASSED | PASSED: extract_partial_block_single_line in 1.55s
2024-10-03 12:05:41 [INFO] - Test 42 | PASSED | PASSED | PASSED: extract_return_stmt in 1.38s
2024-10-03 12:05:43 [INFO] - Test 43 | PASSED | PASSED | FAILED: extract_with_await in 1.61s
2024-10-03 12:05:44 [INFO] - Test 44 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 40..54, source_change: None, command: None }] | N/A | N/A: extract_with_await_and_result_not_producing_match_expr in 1.35s
2024-10-03 12:05:46 [INFO] - Test 45 | PASSED | PASSED | FAILED: extract_with_await_and_result_producing_match_expr in 1.46s
